Photometry of Flux of n Stars at Different Time
Relative Time	..660	..512	..527	..528	..659	..662	..664	..667
===============================================
183.852000	24.070	32.459	36.132	14.798	26.607	47.406	17.092	44.688
195.337000	23.960	31.672	35.426	14.479	26.596	47.074	16.858	44.221
206.844000	23.748	32.400	35.849	14.239	26.762	48.396	16.596	44.670
218.305000	24.378	33.049	35.716	15.048	26.947	47.829	17.002	45.220
229.768000	24.455	32.461	36.377	14.721	27.650	48.674	17.067	45.137
241.361000	24.123	32.830	36.158	14.579	27.063	48.714	17.519	45.328
252.916000	24.403	33.128	36.458	14.923	27.209	48.302	16.930	45.074
264.387000	24.034	32.310	34.465	14.487	26.428	47.453	17.155	44.550
275.850000	23.899	32.285	35.771	14.632	26.530	47.111	16.718	44.239
287.330000	24.020	32.105	36.440	14.645	27.134	47.530	17.465	44.910
298.793000	23.872	31.844	35.596	14.595	26.581	46.991	17.013	44.638
310.304000	24.391	32.568	35.783	14.960	26.767	48.312	17.410	44.727
321.809000	24.392	32.363	35.946	14.720	27.245	48.335	17.134	44.901
333.359000	24.237	32.596	35.784	14.775	27.314	48.990	17.076	44.942
344.907000	24.464	32.519	35.665	14.632	27.387	48.216	17.177	44.864
356.417000	24.229	32.653	35.965	14.432	26.965	48.297	16.937	44.698
367.937000	24.824	32.383	36.261	14.905	27.550	48.741	17.345	45.213
379.469000	24.036	32.628	36.278	14.772	27.103	46.726	17.226	45.085
391.000000	24.817	32.873	35.861	14.803	27.559	47.730	17.185	45.651
402.513000	25.373	33.452	36.232	15.231	27.344	48.989	17.701	45.216
414.052000	24.722	32.451	36.166	14.876	27.074	48.153	17.423	45.330
425.554000	24.185	32.187	36.523	14.464	27.007	48.541	17.222	44.885
437.051000	24.465	32.718	36.581	14.712	27.524	48.423	17.181	45.796
448.504000	24.427	32.874	36.503	14.742	27.636	48.558	17.300	45.530
459.918000	24.645	32.479	36.856	14.918	27.288	48.218	17.192	45.411
471.451000	24.615	32.399	36.730	14.915	27.280	48.784	17.197	44.540
482.923000	24.404	32.737	36.365	14.983	27.396	48.753	17.022	46.201
494.400000	24.441	32.948	35.830	14.707	27.075	48.001	17.354	44.707
505.895000	24.472	32.352	36.367	14.939	27.256	48.025	17.270	45.129
517.374000	24.495	32.179	35.709	14.765	27.094	47.824	16.901	45.149
528.844000	23.764	32.548	36.043	14.495	27.077	47.288	16.828	44.884
540.307000	24.694	32.636	35.733	14.683	27.216	48.207	17.023	45.002
551.791000	24.517	32.724	36.171	14.792	27.075	48.607	17.062	45.275
563.285000	24.308	32.885	35.854	14.784	27.491	47.709	16.900	44.168
574.764000	23.838	32.358	35.886	14.383	27.228	48.189	16.822	44.488
586.224000	24.101	32.527	36.096	14.682	27.007	47.637	16.835	44.675
597.740000	24.243	32.211	36.559	14.891	27.628	48.769	17.106	45.194
609.231000	24.240	32.386	35.183	14.697	27.371	47.387	16.826	45.405
620.751000	24.351	32.150	36.120	14.820	27.490	47.735	17.038	45.402
632.235000	24.388	32.146	35.956	14.794	26.918	48.750	16.923	45.121
643.725000	24.902	32.741	36.063	14.394	27.468	47.987	17.207	45.404
655.268000	24.698	33.122	36.408	15.222	27.378	48.468	17.369	45.034
666.809000	24.489	32.353	36.712	15.225	27.086	48.693	17.672	45.087
678.304000	24.354	32.157	35.852	14.873	26.599	48.165	17.610	44.989
689.776000	24.357	32.343	35.498	14.727	26.925	48.518	17.103	44.425
701.294000	24.561	32.357	35.697	14.432	27.067	48.841	16.872	44.561
712.791000	24.828	32.466	36.000	15.034	27.293	48.833	17.236	45.567
724.285000	24.817	32.517	36.280	15.192	27.418	48.598	17.512	45.280
735.796000	24.776	33.017	36.423	14.936	27.749	49.853	17.690	46.671
747.326000	25.024	32.237	37.123	14.950	27.697	49.619	17.366	45.081
758.852000	24.867	32.305	36.216	14.930	27.890	49.021	17.971	45.464
770.367000	24.709	32.355	35.868	15.361	27.834	48.958	17.275	46.223
781.849000	24.610	32.972	36.337	14.850	27.132	48.833	17.173	45.878
793.335000	24.276	32.672	36.472	15.222	27.964	49.032	17.588	45.576
804.834000	24.781	32.816	36.184	14.788	27.668	49.409	17.024	46.360
816.335000	24.615	32.501	36.531	14.820	27.386	49.084	17.057	45.902
827.877000	24.600	32.809	37.105	14.934	27.614	49.097	17.440	45.138
839.368000	24.512	32.990	36.063	14.999	27.547	48.941	17.193	45.812
850.836000	24.486	32.718	36.436	14.607	27.653	49.491	17.257	45.291
862.311000	25.114	33.244	36.980	14.672	27.501	49.304	17.536	46.192
873.785000	24.996	32.722	36.563	15.248	28.432	49.054	17.474	45.830
885.268000	24.693	33.133	36.288	14.891	27.477	49.734	17.197	46.489
896.766000	25.013	32.794	36.590	14.908	27.654	49.273	17.100	46.608
908.215000	25.023	32.815	36.826	15.665	27.926	49.798	18.141	46.275
919.680000	25.358	33.567	36.393	14.885	27.909	50.482	17.531	47.035
931.190000	25.212	33.639	36.841	14.540	28.248	49.074	17.863	46.073
942.673000	25.007	32.585	37.471	15.113	27.683	49.391	17.450	47.003
954.166000	24.667	33.250	36.562	14.855	27.858	49.248	17.514	46.590
965.633000	25.155	33.983	37.568	15.221	28.045	50.282	17.761	46.632
977.148000	25.285	33.224	36.964	14.791	28.403	50.497	17.682	46.098
988.653000	25.582	33.250	36.846	15.353	28.428	49.581	17.551	46.427
1000.155000	25.403	33.160	36.711	15.466	27.815	50.315	17.181	46.381
1011.664000	25.418	33.068	36.977	15.114	28.353	49.735	17.643	47.405
1023.181000	25.413	32.977	37.481	15.082	28.509	49.262	17.879	47.526
1034.691000	25.286	34.184	37.622	15.413	28.404	50.324	18.242	48.556
1046.221000	25.671	33.671	37.734	15.503	27.947	50.657	17.932	47.487
1057.705000	25.106	33.024	36.774	15.502	27.619	49.429	17.458	46.159
1069.196000	24.853	32.810	37.092	15.049	28.149	48.940	17.868	46.134
1080.691000	25.711	33.462	36.879	15.558	28.137	49.708	17.660	46.938
1092.165000	25.559	33.525	37.186	14.908	28.349	49.658	17.966	46.069
1103.664000	25.631	33.674	37.656	15.148	27.691	50.005	17.912	46.918
1115.179000	25.925	33.547	38.096	15.285	28.471	49.914	17.823	47.154
1126.662000	25.890	33.822	37.876	15.574	28.386	50.778	17.950	47.709
1138.161000	25.883	34.370	37.332	15.942	28.509	50.700	17.986	47.326
1149.669000	26.079	34.210	37.352	15.306	28.446	50.968	17.889	46.990
1161.170000	25.967	33.864	36.931	15.402	28.752	50.802	18.015	47.559
1172.654000	26.026	33.441	37.721	15.322	28.106	50.241	17.839	47.894
1184.224000	25.686	34.629	37.931	15.615	28.730	50.794	17.912	48.200
1195.776000	25.752	34.011	37.594	15.451	28.788	51.053	18.100	47.053
1207.298000	26.252	33.452	38.339	15.731	28.538	50.472	17.948	48.274
1218.813000	25.581	33.891	37.029	15.532	28.500	50.557	17.797	46.061
1230.310000	25.893	33.871	37.578	15.302	28.329	50.821	17.680	47.160
1241.811000	25.527	33.920	36.755	15.294	28.087	49.574	17.669	46.844
1253.301000	25.388	33.384	36.897	15.357	28.256	49.630	18.142	46.472
1264.816000	25.421	33.083	37.426	15.416	28.050	49.718	17.851	46.792
1276.352000	25.442	33.655	37.523	15.625	28.316	49.745	17.919	46.741
1287.808000	25.584	32.687	36.529	15.244	28.502	49.263	17.646	46.542
1299.287000	25.411	32.595	36.169	14.886	27.861	49.355	17.631	46.522
1310.805000	25.304	33.494	36.938	15.160	27.909	50.063	17.979	46.751
1322.306000	25.440	33.498	37.911	15.305	27.939	50.047	17.486	46.913
1333.841000	25.741	33.381	37.428	15.162	28.527	49.939	17.753	46.828
1345.343000	25.864	33.931	37.553	15.066	28.645	49.983	17.451	47.156
1356.850000	26.054	33.439	37.423	15.334	28.326	49.944	17.499	47.204
1368.348000	25.977	33.461	37.631	15.275	28.559	50.172	18.087	47.121
1379.824000	26.024	33.825	37.663	15.510	28.784	50.623	17.804	46.920
1391.202000	26.053	33.712	37.969	15.519	28.391	50.884	17.877	47.350
1402.631000	25.393	34.194	37.554	15.348	28.998	50.852	17.975	47.355
1414.107000	25.729	33.598	37.305	15.498	28.485	50.197	17.984	47.786
1425.575000	25.571	33.843	37.695	15.196	28.289	50.557	18.099	47.293
1437.061000	25.709	33.540	36.970	15.473	28.323	50.068	17.714	47.492
1448.531000	25.392	33.502	37.318	15.317	28.121	49.533	17.984	47.490
1460.006000	25.688	33.805	37.868	15.386	28.264	50.081	18.007	47.736
1471.471000	25.693	33.666	37.534	15.439	28.075	49.783	18.140	46.713
1482.935000	26.323	33.335	37.400	15.387	28.242	50.620	17.996	47.218
1494.403000	25.789	33.573	37.943	15.461	28.708	49.642	18.024	46.627
1505.877000	25.526	33.664	37.552	15.303	28.395	50.039	17.691	46.658
1517.345000	25.504	33.552	37.203	15.157	28.488	50.736	18.030	47.700
1528.841000	25.799	33.225	37.301	15.084	28.602	50.495	17.829	47.868
1540.316000	25.647	33.409	37.449	15.492	28.932	50.637	17.742	47.912
1551.790000	26.044	33.663	37.610	15.012	28.627	50.251	17.777	47.268
1725.972000	25.967	33.495	38.312	15.699	28.544	49.952	18.000	47.986
1737.433000	26.203	33.804	38.367	15.671	28.914	51.192	18.075	47.720
1748.916000	25.882	33.743	37.519	15.466	28.500	50.431	17.816	47.589
1760.408000	26.517	33.570	37.747	15.964	28.505	50.904	18.164	47.893
1771.880000	25.863	33.419	37.309	15.449	29.052	50.899	17.841	46.795
1783.388000	25.739	33.523	37.363	15.510	28.126	50.570	17.682	47.611
1794.892000	26.106	34.101	37.844	15.566	28.783	50.722	17.814	48.008
1971.897000	25.921	33.757	37.984	15.661	29.088	51.112	18.305	48.027
1983.409000	26.692	34.681	38.270	15.858	29.368	51.256	18.101	47.906
1994.892000	26.897	34.434	38.580	16.155	29.303	52.312	18.714	48.980
2006.361000	26.798	34.356	38.444	15.794	29.127	51.171	18.311	49.184
2017.830000	26.615	34.508	38.098	15.889	29.452	51.229	18.345	48.644
2029.284000	26.595	34.094	38.357	15.889	28.889	51.279	18.379	48.297
2040.752000	26.185	34.334	38.672	15.595	29.682	51.106	18.458	48.623
2052.217000	26.296	34.214	37.860	16.010	29.467	50.249	18.466	48.141
2063.679000	26.372	33.817	38.092	15.915	28.972	51.256	18.135	48.905
2075.149000	26.341	34.244	38.301	15.824	29.423	51.386	18.456	48.642
2086.712000	26.373	34.238	38.454	15.874	29.262	51.846	18.373	48.441
2098.190000	26.470	33.814	37.869	15.970	29.038	51.234	17.954	48.482
2109.648000	26.251	33.966	38.100	15.787	29.048	51.711	18.066	48.362
2121.108000	26.539	34.549	38.485	15.983	29.137	52.029	18.776	48.794
2132.596000	27.005	34.669	38.580	15.931	29.106	51.581	18.236	48.879
2144.069000	26.625	34.382	38.402	15.865	29.458	50.930	18.186	48.748
2155.532000	26.594	34.551	38.521	15.934	29.398	51.588	18.523	48.916
2166.996000	26.932	34.604	38.436	15.929	29.367	51.818	18.400	48.929
2178.474000	26.805	35.392	38.553	15.977	29.446	51.803	18.498	49.269
2189.943000	26.590	34.478	38.520	15.820	29.284	51.992	19.035	49.046
2201.419000	26.628	34.828	39.443	15.743	29.721	52.258	18.674	49.468
2212.878000	26.507	34.423	38.457	15.585	29.464	51.177	18.580	48.858
2224.338000	26.338	34.044	38.367	15.505	29.329	51.289	18.365	48.467
2235.926000	26.198	34.313	38.400	15.893	29.164	51.767	18.298	48.835
2247.378000	26.478	34.067	38.324	15.854	28.904	51.092	18.281	48.123
2258.839000	26.699	34.533	38.441	16.065	29.440	51.620	18.095	48.685
2270.390000	26.635	34.410	38.623	16.126	29.556	51.953	18.624	49.204
2281.862000	26.758	34.007	38.640	15.786	29.415	51.951	18.298	49.058
2293.324000	26.385	34.281	38.467	15.975	29.956	51.437	18.434	48.444
2304.804000	26.610	34.614	38.619	16.050	29.648	51.270	18.721	48.476
2316.263000	26.718	34.382	38.636	16.030	29.431	51.904	18.639	49.020
2327.824000	27.330	34.888	38.782	16.303	29.762	52.006	18.985	49.251
2339.384000	27.028	34.302	38.920	16.405	29.773	52.004	18.505	49.110
2350.951000	26.326	34.551	39.288	15.991	29.173	52.419	18.503	49.279
2362.514000	26.869	34.516	38.858	15.914	29.889	52.471	18.924	49.228
2373.980000	26.656	34.237	38.990	16.276	28.689	51.428	18.625	48.675
2385.433000	25.804	33.546	37.931	15.612	27.978	50.424	18.060	48.387
2396.903000	25.842	33.674	38.244	15.291	28.895	50.753	18.014	47.694
2408.365000	26.100	34.056	37.782	15.489	28.985	50.918	17.979	47.997
2419.843000	26.401	34.078	38.592	15.849	29.221	51.335	18.360	48.869
2431.304000	26.612	34.681	38.457	15.888	29.715	51.774	18.566	48.985
2442.769000	26.582	34.315	38.628	15.805	29.523	51.243	18.474	48.620
2454.235000	26.894	34.160	38.130	16.122	29.780	51.829	18.626	48.785
2465.691000	26.446	34.685	38.953	15.999	29.729	52.268	18.450	49.409
2477.153000	26.861	34.860	38.620	15.759	30.068	51.423	18.524	50.213
2488.632000	26.692	34.658	38.446	16.122	30.194	52.452	18.771	49.548
