Photometry of Flux of n Stars at Different Time
Relative Time	..660	..512	..527	..528	..659	..662	..664	..667
===============================================
183.852000	24.070	32.459	36.132	14.798	26.607	47.406	17.092	44.688
195.337000	23.960	31.672	35.426	14.479	26.596	47.074	16.858	44.221
206.844000	23.748	32.400	35.849	14.239	26.762	48.396	16.596	44.670
218.305000	24.378	33.049	35.716	15.048	26.947	47.829	17.002	45.220
229.768000	24.455	32.461	36.377	14.721	27.650	48.674	17.067	45.137
241.361000	24.123	32.830	36.158	14.579	27.063	48.714	17.519	45.328
252.916000	24.403	33.128	36.458	14.923	27.209	48.302	16.930	45.074
264.387000	24.034	32.310	34.465	14.487	26.428	47.453	17.155	44.550
275.850000	23.899	32.285	35.771	14.632	26.530	47.111	16.718	44.239
287.330000	24.020	32.105	36.440	14.645	27.134	47.530	17.465	44.910
